method,uid,dataset,match_iou,n_gt,n_pred,dice,iou,hd95,assd,bf1,area_err,n_miss,n_fp
B_seg__detstats,busi_479bc9d958,busi,,1,2,,,,,,,0.0,1.0
SAM_edgesam,busi_479bc9d958,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_edgesam__detstats,busi_479bc9d958,busi,,1,1,,,,,,,1.0,1.0
SAM_litemedsam,busi_479bc9d958,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_litemedsam__detstats,busi_479bc9d958,busi,,1,1,,,,,,,1.0,1.0
SAM_swin_litemedsam,busi_479bc9d958,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_swin_litemedsam__detstats,busi_479bc9d958,busi,,1,1,,,,,,,1.0,1.0
A_box,busi_5f2389aed3,busi,0.8897566199302673,1,1,0.941662673694298,0.889756649688738,6.0,2.6984014456133405,0.47794117647058826,0.06355833913245186,,
A_box__detstats,busi_5f2389aed3,busi,,1,1,,,,,,,0.0,0.0
A_otsu,busi_5f2389aed3,busi,0.8855799436569214,1,1,0.9393183707398172,0.8855799373040752,6.324555320336759,2.8638895585427395,0.47328263002944065,0.04662491301322199,,
A_otsu__detstats,busi_5f2389aed3,busi,,1,1,,,,,,,0.0,0.0
A_otsu_fb,busi_5f2389aed3,busi,0.8855799436569214,1,1,0.9393183707398172,0.8855799373040752,6.324555320336759,2.8638895585427395,0.47328263002944065,0.04662491301322199,,
A_otsu_fb__detstats,busi_5f2389aed3,busi,,1,1,,,,,,,0.0,0.0
A_select,busi_5f2389aed3,busi,0.8855799436569214,1,1,0.9393183707398172,0.8855799373040752,6.324555320336759,2.8638895585427395,0.47328263002944065,0.04662491301322199,,
A_select__detstats,busi_5f2389aed3,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_5f2389aed3,busi,0.8817285895347595,1,2,0.9371474617244158,0.8817285822592873,6.60142603922608,2.915617989814759,0.38888888888888895,0.01507770818835537,,
B_seg__detstats,busi_5f2389aed3,busi,,1,2,,,,,,,0.0,1.0
SAM_edgesam,busi_5f2389aed3,busi,0.8909675478935242,1,1,0.9423403738771546,0.890967519798003,6.0,2.5677808430486078,0.517590548396114,0.08907446068197634,,
SAM_edgesam__detstats,busi_5f2389aed3,busi,,1,1,,,,,,,0.0,0.0
SAM_litemedsam,busi_5f2389aed3,busi,0.8976722955703735,1,1,0.9460772407092544,0.8976722747176769,6.324555320336759,2.454622992853179,0.5624045843750691,0.09000231964741359,,
