uid,dataset,otsu_iou,otsu+ref_iou,box_iou,box+ref_iou,mvp_iou,mvp+ref_iou
busi_702d535cb8,busi,0.7504300883905796,0.8683471371984156,0.7444483609446598,0.8625358166189112,0.7444483609446598,0.8625358166189112
busi_7ad36ab93e,busi,0.6923076923076923,0.8349056603773585,0.6297790249035427,0.8462786923255274,0.8462786923255274,0.8462786923255274
busi_fb599a827f,busi,0.6019676075095588,0.722540415704388,0.7795694947851173,0.8743321510348853,0.6019676075095588,0.722540415704388
busi_26b35ce6c2,busi,0.7634827810266407,0.8257065948855989,0.729005667181865,0.8539325842696629,0.8257065948855989,0.8257065948855989
busi_4058304b16,busi,0.7407680945347119,0.8704472106961734,0.7103274559193955,0.8702325581395349,0.8702325581395349,0.8702325581395349
busi_dc9eed528c,busi,0.8412801034427024,0.8551179834098414,0.6744556256751378,0.8490724482784946,0.8412801034427024,0.8551179834098414
busi_de9fa69171,busi,0.7043044582721574,0.8008166076347895,0.7980515158238699,0.7988228866593822,0.7043044582721574,0.8008166076347895
busi_1af81235cf,busi,0.8733541059402955,0.8851957975167144,0.7741628312966196,0.8971185265867908,0.7741628312966196,0.8971185265867908
busi_0e203e8363,busi,0.7036148137207843,0.87520218747593,0.6608210012275897,0.9153149567121106,0.7036148137207843,0.87520218747593
busi_8c1f838d6c,busi,0.7148767168624856,0.8609046849757673,0.6506945192204157,0.8791030224244394,0.7148767168624856,0.8609046849757673
busi_cfd961e96d,busi,0.837550765385817,0.8836010912397696,0.770694087403599,0.873587786259542,0.8836010912397696,0.8836010912397696
busi_6d2d131466,busi,0.7697979649019319,0.911947452511983,0.7668101528870417,0.9145586414293295,0.9145586414293295,0.9145586414293295
busi_873f42e663,busi,0.8852097130242825,0.9177894272696095,0.7740454914703493,0.9017357903437545,0.9177894272696095,0.9177894272696095
busi_22d1a239ff,busi,0.582528823817744,0.7563988582658743,0.7236798978764513,0.8875809693991512,0.582528823817744,0.7563988582658743
busi_888dc0e64a,busi,0.555934242181235,0.63155702135046,0.672810924862267,0.6466180708594677,0.555934242181235,0.63155702135046
busi_62445ce52f,busi,0.6374175949079336,0.6986435008826536,0.5258386219401632,0.6181017397049108,0.6374175949079336,0.6986435008826536
busi_31157c7321,busi,0.48437017465600657,0.6021984900050855,0.3979845222883869,0.5589881743754811,0.48437017465600657,0.6021984900050855
busi_31341a9960,busi,0.8641790638853382,0.9094419880226116,0.77077559073613,0.9014187591487445,0.9014187591487445,0.9014187591487445
busi_6e82f75987,busi,0.8395167678901505,0.8557648734382081,0.8030388932985599,0.8181074619353215,0.8395167678901505,0.8557648734382081
busi_f5cba98f1d,busi,0.5151260403997042,0.6851459946911022,0.6739504230710938,0.8717673545966229,0.6851459946911022,0.6851459946911022
busi_70e63630b2,busi,0.7668351514763748,0.8368370420602753,0.7327298033570859,0.9154455921210666,0.7668351514763748,0.8368370420602753
busi_d6ece3a2e2,busi,0.8269419862340216,0.9397639605579114,0.7383144336006954,0.9349038411424402,0.8269419862340216,0.9397639605579114
busi_21ebb876bc,busi,0.6351799242424242,0.7980814225549836,0.7289075951788789,0.81891299049476,0.81891299049476,0.81891299049476
busi_7a078fba05,busi,0.8773230525899565,0.7897376197725441,0.5535803393213573,0.7486955777948849,0.8773230525899565,0.7897376197725441
busi_a262591d26,busi,0.8898689207399241,0.9165595418955241,0.7605701627660599,0.9129926324406502,0.9165595418955241,0.9165595418955241
busi_b7e3e20601,busi,0.9248718401979849,0.9482447789008852,0.7557848217481288,0.9153059002830394,0.9248718401979849,0.9482447789008852
busi_1e01f78c06,busi,0.7094228140570572,0.7109459401063049,0.6246081504702194,0.7490333271957282,0.7094228140570572,0.7109459401063049
busi_c9ddf3ff26,busi,0.6899964589235128,0.8128728057717435,0.7507043116119549,0.8861766945925362,0.8861766945925362,0.8861766945925362
busi_086f5ac9a7,busi,0.46006711821903157,0.45631989486109253,0.5049331044934912,0.5035630008644658,0.46006711821903157,0.45631989486109253
busi_55fa62f005,busi,0.5992533679597468,0.6851851851851852,0.7392758056484314,0.733520224269123,0.5992533679597468,0.6851851851851852
busi_f8c677f4cb,busi,0.7091464848342347,0.7149805447470817,0.8252579632122028,0.7294603791929996,0.8252579632122028,0.7294603791929996
busi_93193f654b,busi,0.7752279583742924,0.8196848403134743,0.7279667463594871,0.8054655237656505,0.7752279583742924,0.8196848403134743
busi_7dcb196d66,busi,0.7692127534323748,0.8318993871263979,0.7287315470009528,0.8325680374860702,0.7692127534323748,0.8318993871263979
busi_9289e3083c,busi,0.5323280313984714,0.6368789940218512,0.6999396603741057,0.6752608962553714,0.5323280313984714,0.6368789940218512
busi_6ecd547c0d,busi,0.6427668904689939,0.7804176462453326,0.6145950428452962,0.7796278158667973,0.6427668904689939,0.7804176462453326
busi_a3204ccbe7,busi,0.6333701504901283,0.7514007667354763,0.5541111802267275,0.7408096526838069,0.6333701504901283,0.7514007667354763
busi_e760baac79,busi,0.7900720576461169,0.7660429874748724,0.6627344579450277,0.7991099809281628,0.7900720576461169,0.7660429874748724
busi_d7a8d6043b,busi,0.45885976884837404,0.6809232200302314,0.45745371063532464,0.681055756921416,0.45885976884837404,0.6809232200302314
busi_1b904e1d39,busi,0.7056503749676752,0.7221682533514668,0.437290811493527,0.6492548398276972,0.7056503749676752,0.7221682533514668
busi_0cc200cd76,busi,0.3676844076154459,0.5828648687113072,0.41583149779735684,0.5048095156007585,0.3676844076154459,0.5828648687113072
busi_bad20acd54,busi,0.7194424264438795,0.8327899394503959,0.669852844567074,0.7932026375182546,0.7194424264438795,0.8327899394503959
busi_1cd1fff51b,busi,0.5438476804763086,0.700171174255392,0.491588785046729,0.7105096660808435,0.5438476804763086,0.700171174255392
busi_daf74cbea5,busi,0.5813023625495746,0.6051594524016776,0.4134512325830654,0.5881413785509799,0.5813023625495746,0.6051594524016776
busi_d083e06533,busi,0.8125572668964615,0.7668882500898311,0.6266505514428161,0.7356126301813203,0.8125572668964615,0.7668882500898311
busi_ff6b3c8040,busi,0.7164599053587415,0.755054045497716,0.6403112532559596,0.6731293414226677,0.755054045497716,0.755054045497716
busi_e0e8a1f5f7,busi,0.853161049171876,0.8671061459032173,0.6741116751269035,0.8859184914841849,0.853161049171876,0.8671061459032173
busi_e77460c93f,busi,0.403100913502712,0.5647387924144446,0.6279913955364346,0.8122013461900766,0.403100913502712,0.5647387924144446
ddti_98ad2517b3,ddti,0.10989274372341062,0.3603637456786412,0.4727968941126416,0.575766194979734,0.4727968941126416,0.575766194979734
