uid,dataset,dice,iou,hd95,assd,bf1,area_err
busi_b83f3d49c5,busi,0.9206714187169465,0.8530038346825735,7.0710678118654755,3.1223879240749617,0.42614982684245695,0.03153289076644538
busi_929cf0f851,busi,0.9150849150849151,0.8434622467771639,2.8284271247461903,1.2136867990621147,0.859232761152193,0.023692003948667325
busi_b0824ba0e4,busi,0.0,0.0,,,0.0,
busi_cb24e22b98,busi,0.9125928921692533,0.8392375639237564,10.0,3.8541800772017165,0.39114912156846926,0.16209421794731665
busi_034a4514ed,busi,0.9450164972652184,0.8957642416355317,10.63014581273465,3.9837275604093314,0.3417198957638931,0.04016263835554552
busi_1541b9855b,busi,0.89498639720171,0.8099324704558244,12.529964086141668,5.369846156466282,0.2928120511707138,0.12890948204534172
busi_7142c7617d,busi,0.88422148932477,0.7924704418170504,11.160093056952183,4.653499711170387,0.3167330677290837,0.18882978723404256
busi_5ea67a72a7,busi,0.0,0.0,,,0.0,
busi_328c7cf02a,busi,0.9497045736377562,0.9042261346668056,11.180339887498949,3.7252343712616356,0.48914201309491684,0.010376981967272596
busi_884f21854c,busi,0.941754926844826,0.8899213903609011,16.278820596099706,5.561349604719342,0.3716412775607735,0.023692349065483394
busi_702d535cb8,busi,0.8999680635889429,0.8181290322580645,11.045361017187261,5.390279960602936,0.24058919803600654,0.20318974278789775
busi_7ad36ab93e,busi,0.0,0.0,,,0.0,
busi_fb599a827f,busi,0.9386458078709362,0.8843850760018425,11.0,4.134731791074513,0.3985969961327457,0.07146561071041342
busi_26b35ce6c2,busi,0.0,0.0,,,0.0,
busi_4058304b16,busi,0.0,0.0,,,0.0,
busi_dc9eed528c,busi,0.9415475007560375,0.8895510204081633,6.708203932499369,2.6042042676729027,0.5287925386942715,0.07749169435215947
busi_15283493c7,busi,0.781071648532129,0.6407855290194361,51.23865650073191,21.083045895583567,0.06316145647310939,0.4983330768836231
busi_de9fa69171,busi,0.9396322114465585,0.8861380188928683,16.0,5.371705300383985,0.30906235285566663,0.02464505085087101
