method,uid,dataset,match_iou,n_gt,n_pred,dice,iou,hd95,assd,bf1,area_err,n_miss,n_fp
A_select__detstats,busi_881775a5f8,busi,,1,1,,,,,,,1.0,1.0
B_seg,busi_881775a5f8,busi,0.0,1,1,0.0,0.0,,,0.0,,,
B_seg__detstats,busi_881775a5f8,busi,,1,1,,,,,,,1.0,1.0
SAM_edgesam,busi_881775a5f8,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_edgesam__detstats,busi_881775a5f8,busi,,1,1,,,,,,,1.0,1.0
SAM_efficientvit-t,busi_881775a5f8,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_efficientvit-t__detstats,busi_881775a5f8,busi,,1,1,,,,,,,1.0,1.0
A_box,busi_11c694f20f,busi,0.8238672614097595,1,1,0.9034289713086074,0.8238672622846203,4.47213595499958,1.7130774122123593,0.7088459285295841,0.04727793696275072,,
A_box__detstats,busi_11c694f20f,busi,,1,1,,,,,,,0.0,0.0
A_otsu,busi_11c694f20f,busi,0.8343004584312439,1,1,0.9096660808435852,0.8343004513217279,4.218733674818961,1.5808047679061557,0.7564469914040115,0.03796561604584527,,
A_otsu__detstats,busi_11c694f20f,busi,,1,1,,,,,,,0.0,0.0
A_otsu_fb,busi_11c694f20f,busi,0.8343004584312439,1,1,0.9096660808435852,0.8343004513217279,4.218733674818961,1.5808047679061557,0.7564469914040115,0.03796561604584527,,
A_otsu_fb__detstats,busi_11c694f20f,busi,,1,1,,,,,,,0.0,0.0
A_select,busi_11c694f20f,busi,0.8343004584312439,1,1,0.9096660808435852,0.8343004513217279,4.218733674818961,1.5808047679061557,0.7564469914040115,0.03796561604584527,,
A_select__detstats,busi_11c694f20f,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_11c694f20f,busi,0.6828617453575134,1,1,0.8115482233502538,0.6828617191671116,10.391853012565557,3.650471117392532,0.5182346109175376,0.25787965616045844,,
B_seg__detstats,busi_11c694f20f,busi,,1,1,,,,,,,0.0,0.0
SAM_edgesam,busi_11c694f20f,busi,0.692307710647583,1,1,0.8181818181818182,0.6923076923076923,7.0,3.458919599698133,0.2978362324989393,0.19054441260744986,,
SAM_edgesam__detstats,busi_11c694f20f,busi,,1,1,,,,,,,0.0,0.0
