uid,dataset,best_iou,best_conf,hit25,hit_lowconf,area_ratio,diag,contrast,w,h
busi_b0824ba0e4,busi,0.7554204993429697,0.07943040132522583,0.0,1.0,0.09542522469029176,251.46172671005024,13.784729921292879,232,97
busi_cb24e22b98,busi,0.9127925617184995,0.8005049228668213,1.0,1.0,0.0555029786821,173.5655495770978,27.109289963662803,157,74
busi_034a4514ed,busi,0.9537733963897955,0.8563576340675354,1.0,1.0,0.12226984986245677,260.2249027283899,48.651478849728804,226,129
busi_1541b9855b,busi,0.7679505468378507,0.8437740802764893,1.0,1.0,0.06773448708751793,198.13379318026495,34.68687451000417,176,91
busi_7142c7617d,busi,0.8410190261206063,0.8616845607757568,1.0,1.0,0.04393549894835242,177.9100896520487,43.72748600661052,166,64
busi_5ea67a72a7,busi,0.7243707796193984,0.00333503820002079,0.0,1.0,0.06492842535787322,272.1249712907656,19.512790236677432,264,66
busi_328c7cf02a,busi,0.8974971440440337,0.8706860542297363,1.0,1.0,0.1049383186110265,323.5119781399137,22.969632656105375,302,116
busi_884f21854c,busi,0.8757377884973626,0.8617310523986816,1.0,1.0,0.14199468450717134,355.53480842246654,40.69615109661922,318,159
busi_702d535cb8,busi,0.912167191525909,0.847504734992981,1.0,1.0,0.053934052960026985,207.06762180505189,31.858486098031534,186,91
busi_7ad36ab93e,busi,0.8262448132780082,0.5623048543930054,1.0,1.0,0.011684227877312438,102.61578825892242,42.39270328074205,81,63
busi_fb599a827f,busi,0.9466449896541531,0.8783016204833984,1.0,1.0,0.11672169032684054,231.81242417092315,43.74563498172144,184,141
busi_26b35ce6c2,busi,0.832271762208068,0.6546345353126526,1.0,1.0,0.005459484069109738,60.207972893961475,63.447324862128404,51,32
busi_4058304b16,busi,0.9037472446730346,0.8268297910690308,1.0,1.0,0.01109039475376109,74.4043009509531,89.55470341907335,60,44
busi_dc9eed528c,busi,0.9095718836041677,0.8522650599479675,1.0,1.0,0.026465900972687806,233.05364189387817,96.95332646452752,217,85
busi_15283493c7,busi,0.7890162522871597,0.11757935583591461,0.0,1.0,0.14320024678300722,438.62170488930434,25.578774766671067,415,142
busi_de9fa69171,busi,0.8979798799286062,0.7487539649009705,1.0,1.0,0.1468648328896776,344.61572802180694,36.292731984635424,314,142
busi_1af81235cf,busi,0.9333333333333333,0.8354058265686035,1.0,1.0,0.03781355154481493,176.6635219845908,86.92654715918121,159,77
