uid,dataset,rough_box_dice,rough_otsu_dice,cover_otsu,cover_box,ref_box_dice,ref_otsu_dice
busi_daf74cbea5,busi,0.5849527261147462,0.7350049492001784,0.9287880751782243,1.0,0.7406662737893022,0.7540178659462444
busi_d083e06533,busi,0.7704366885227631,0.8962114282963463,0.8740785952392132,0.9737076858068454,0.8476691369830265,0.8680665005846764
busi_ff6b3c8040,busi,0.7807192104363907,0.8344173576287175,0.800628840931828,0.9251584012195703,0.8046351525343564,0.8604339535123434
busi_e0e8a1f5f7,busi,0.8052834864683163,0.9212420459682187,0.8674044002095338,1.0,0.9395087809834056,0.9288236213091704
busi_e77460c93f,busi,0.77148069458938,0.574364975387629,0.4385184609707305,0.9979412278827665,0.8963698740182782,0.7218313946739106
ddti_98ad2517b3,ddti,0.6419699595609474,0.19773095623987033,0.20584926884139482,1.0,0.7307761732851985,0.5298049831501022
ddti_56e6cc05a6,ddti,0.8324987048868935,0.7826289439981372,0.6932755775577558,0.994430693069307,0.862964751327861,0.8258656820676579
ddti_c835c6acf9,ddti,0.7224688802331599,0.26648636466080683,0.2150756693830035,0.964930151338766,0.785808620482651,0.5723603405192496
ddti_d02b6359c9,ddti,0.8379417496181598,0.9152112165347193,0.9414397612831034,0.9890588089021509,0.9245679012345679,0.9455197132616487
ddti_c066535241,ddti,0.893909689860196,0.18283854312812167,0.10670072705836117,0.910918975568219,0.8566272168812689,0.3969535882232672
ddti_d9658bd3e1,ddti,0.7500471965263357,0.3056509522322822,0.23073297195380627,0.9363657789300024,0.7495004114258845,0.5550400674820751
ddti_b8dcef923d,ddti,0.7394637674881969,0.5378094649974737,0.39446594745944163,0.7029564358066376,0.7502663954276857,0.7141187827058884
ddti_22ffb08a0b,ddti,0.74332160851792,0.745858469788375,0.9835837858315444,0.9873721429473419,0.8456494772284247,0.8511381428399374
ddti_a517b62f3e,ddti,0.8710576923076923,0.6533864541832669,0.5535752862389285,0.9785050766904299,0.9321736221460233,0.7400831255195345
ddti_1b0bfd8a9f,ddti,0.8221027972991595,0.8274520700194499,0.8356952434404378,0.8370983583555494,0.8559201141226819,0.8313161875945537
ddti_cfa286754f,ddti,0.8266666666666667,0.7790003143665514,0.7513644633110976,0.9775621588841722,0.9040307101727447,0.8524590163934426
ddti_9a98bb878f,ddti,0.7903168068730982,0.750124750499002,0.6540134870567762,0.9605177289536654,0.9034281388558452,0.9038623891937526
ddti_ade13232ad,ddti,0.8726056552143509,0.8453209590100541,0.7390128465179175,0.9702501690331304,0.9301994301994302,0.9420849420849421
ddti_7c4903c6a3,ddti,0.7675036927621861,0.7278662420382166,0.599161095818587,0.6810853322847031,0.6955281483345919,0.7306333689312413
ddti_8c5641ea57,ddti,0.8073799306616238,0.8087452839315081,0.9529780564263323,0.9490453120547164,0.8599153334432899,0.8675581296312069
ddti_54dd2b4e84,ddti,0.8735659233982468,0.5945525291828794,0.4447031431897555,0.8642607683352735,0.8494702472179649,0.7613133476088508
ddti_6410446b09,ddti,0.8638100537933593,0.8034219999065028,0.7381034186565882,1.0,0.9302493349564904,0.9076062024038902
ddti_3ab69060ab,ddti,0.7694921653766282,0.5656003708854891,0.5616942909760589,0.9383057090239411,0.7721208239940228,0.6990266393442623
ddti_57c3f20a3d,ddti,0.7917936694021102,0.5561444186816826,0.4948423224285293,0.9952844090775125,0.9191378562129322,0.8249239147845587
ddti_91d165a82a,ddti,0.8697692608525616,0.8179623370352487,0.7326989619377162,0.9619377162629758,0.9103199639477242,0.8990081154192967
ddti_33e18d0483,ddti,0.8692417113469745,0.9266483187746799,0.9641434262948207,0.9890438247011952,0.9079524107701941,0.8960351285031641
ddti_1f952975a3,ddti,0.809406683064371,0.6710926694329183,0.5184499216412595,0.9611055705941017,0.841310562193066,0.8687222100736205
ddti_8afc9502ef,ddti,0.8177789713978784,0.8183284063423811,1.0,1.0,0.9033922907370572,0.9001713796058269
ddti_221272fd42,ddti,0.7945664309639002,0.8657510912381561,0.9522248243559719,1.0,0.924031007751938,0.9182220039292731
ddti_8de5d92d9d,ddti,0.7790151205557826,0.1311739261643698,0.08550819672131148,1.0,0.8623676612127045,0.45397178916109876
ddti_2fdfab30c9,ddti,0.7400366468163079,0.04986149584487535,0.030489682784108407,0.995072374499538,0.8487712665406427,0.26215644820295986
ddti_65ec60d09d,ddti,0.6358326756116811,0.7842242503259452,0.8959781529294936,1.0,0.8109417583526799,0.8372434017595308
ddti_489a74d797,ddti,0.832377894978216,0.7326091980587012,0.5797366495976591,0.9957937088514996,0.9286820293287185,0.8992263056092843
ddti_b40cf90f18,ddti,0.6013579049466538,0.5560024752475248,0.7225572979493365,0.9971853638922397,0.6910653430137799,0.6804903889813834
ddti_7c62604dba,ddti,0.8459723780948673,0.6951368192901652,0.5537390741340239,0.9964389770152153,0.8937207023491088,0.8913101564587478
ddti_4b8d19d7a1,ddti,0.84420675746108,0.0443435919254952,0.025178504321683576,1.0,0.9123955862637929,0.25927276041192016
ddti_8dad71b90d,ddti,0.6476614699331849,0.6371603856266433,1.0,1.0,0.7411996620670234,0.7446509009009009
ddti_a8736f35aa,ddti,0.8077640910787607,0.8080657206870799,0.8642172523961661,0.8642172523961661,0.8378825475599669,0.8336065573770491
ddti_5dfcfa97df,ddti,0.8696213852727814,0.6907837554323393,0.5942350332594235,0.9024905893879235,0.8568856885688569,0.7680973934758858
ddti_ad3b19cbcd,ddti,0.8165764739390488,0.12330524001465738,0.07824671549819788,1.0,0.9163987138263665,0.42671394799054374
ddti_e9be59c1a3,ddti,0.7552982666267425,0.22442516866308687,0.14359968284732622,1.0,0.8808340799869675,0.49475393454908817
ddti_3db3d34949,ddti,0.8243709916132215,0.8827714197339932,0.8357247437774524,0.9786237188872621,0.9116945107398569,0.9225382932166302
ddti_fd470c1032,ddti,0.8557953468786188,0.3904312288613303,0.2704245973645681,0.991849682772084,0.9248673029479927,0.5889404119743856
ddti_640c4f6df2,ddti,0.8518121524753802,0.7054464932078525,0.6099860078061713,0.9363723396420944,0.8714569768801903,0.824432363287496
ddti_c9d3b7aed1,ddti,0.8388050248073472,0.7480377580304969,0.6749656807687507,0.9916385872956446,0.8996329433356275,0.655689689293489
