uid,dataset,stage,dice
ddti_90696b2b43,ddti,otsu_iou50,0.7489114658925979
ddti_ba1514aeb9,ddti,otsu_low_iou,0.5042501293517628
ddti_c8fbd8e3a2,ddti,otsu_iou50,0.8744041944709247
ddti_e33a37bf51,ddti,otsu_low_iou,0.5762624967956934
ddti_33e5e1f317,ddti,otsu_low_iou,0.49112660883370185
ddti_cd5c4e3c0d,ddti,otsu_iou50,0.8299065420560747
ddti_939c619c88,ddti,otsu_iou50,0.7236523652365237
ddti_a0e522ad71,ddti,otsu_low_iou,0.4493373682562872
ddti_37e3d077d2,ddti,otsu_iou50,0.6883550091825644
ddti_4c301e1cf4,ddti,otsu_low_iou,0.6625528913963329
ddti_1113200ee2,ddti,otsu_low_iou,0.5052079740635994
ddti_9c9f67679d,ddti,otsu_iou50,0.7623611413635374
ddti_6ec5864d97,ddti,otsu_iou50,0.7137308658898789
ddti_06d0f20618,ddti,otsu_low_iou,0.5294572444719344
ddti_1ab2f73c47,ddti,otsu_low_iou,0.05558217537134643
ddti_0021c0606c,ddti,otsu_low_iou,0.5827580102673039
ddti_7e1535d854,ddti,otsu_low_iou,0.36741214057507987
ddti_7d9bfb7978,ddti,otsu_iou50,0.7607573149741824
tn3k_ba14c8a36b,tn3k,otsu_iou50,0.8009721288587828
tn3k_e432497cb7,tn3k,det_miss,0.0
tn3k_e12b0ef506,tn3k,otsu_iou50,0.7759611573523583
tn3k_a984c41da4,tn3k,det_miss,0.0
tn3k_a984c41da4,tn3k,det_miss,0.0
tn3k_be4c155142,tn3k,otsu_iou50,0.9044846577498034
tn3k_8b669ded91,tn3k,otsu_iou50,0.8284376330353341
tn3k_33814ec0d8,tn3k,otsu_iou50,0.6836569413404958
tn3k_07164549ce,tn3k,otsu_iou50,0.9155518394648829
tn3k_242c29b639,tn3k,otsu_iou50,0.9263785686351192
tn3k_4501e10e3f,tn3k,otsu_iou50,0.8090287277701779
tn3k_398c97384e,tn3k,otsu_iou50,0.6789424661460199
tn3k_2e8606665e,tn3k,otsu_low_iou,0.6318273769386379
tn3k_e82f9f01a7,tn3k,otsu_iou50,0.8505135032331685
tn3k_c1be980a7c,tn3k,otsu_iou50,0.9428104575163399
tn3k_c1be980a7c,tn3k,otsu_low_iou,0.4722222222222222
tn3k_75f6fec10b,tn3k,otsu_iou50,0.9112934740132864
tn3k_a66f54501a,tn3k,otsu_iou50,0.9127521588018201
tn3k_be632d42a2,tn3k,otsu_iou50,0.7378410438908659
tn3k_123cbf01bd,tn3k,otsu_iou50,0.7011531415023171
tn3k_123cbf01bd,tn3k,otsu_low_iou,0.6310081340892285
tn3k_e050c0f8dd,tn3k,det_miss,0.0
tn3k_8f32288f9c,tn3k,otsu_iou50,0.7844939554401039
tn3k_053bfdf068,tn3k,otsu_iou50,0.7465846994535519
tn3k_3538cd8e63,tn3k,otsu_iou50,0.8134254689042448
tn3k_12b9b2e7b0,tn3k,otsu_iou50,0.8839716312056738
tn3k_ac15c997d4,tn3k,otsu_iou50,0.8738269030239834
tn3k_00daec2730,tn3k,otsu_iou50,0.8310909246722085
tn3k_cee3119b00,tn3k,otsu_iou50,0.8559841384282625
tn3k_49c7c236dd,tn3k,otsu_iou50,0.8709705908328181
tn3k_791faec81f,tn3k,otsu_iou50,0.8450854700854701
tn3k_d2c8216947,tn3k,otsu_low_iou,0.1570024835330958
tn3k_606e589ecf,tn3k,otsu_iou50,0.6998987044836594
tn3k_9667cba6ba,tn3k,otsu_iou50,0.7039720209842618
tn3k_604aad6ea1,tn3k,otsu_low_iou,0.35245310245310246
tn3k_ed0acccbea,tn3k,otsu_iou50,0.7694586144479184
tn3k_553977c522,tn3k,otsu_iou50,0.8542128603104213
tn3k_b067593212,tn3k,det_miss,0.0
tn3k_5c8ad8600c,tn3k,det_miss,0.0
tn3k_e2a0bb299b,tn3k,otsu_iou50,0.7550077041602465
tn3k_e22a0835fe,tn3k,otsu_low_iou,0.44466473393809036
tn3k_dbc5b57a99,tn3k,otsu_low_iou,0.4872718819016622
tn3k_c0ac76817a,tn3k,otsu_iou50,0.8485117725455353
tn3k_c6079fc26e,tn3k,otsu_iou50,0.6709608158883521
tn3k_f066f1047a,tn3k,otsu_iou50,0.9170411170701068
tn3k_fb0bfb7ba1,tn3k,otsu_low_iou,0.5255212077641984
tn3k_1ebd8193e5,tn3k,otsu_low_iou,0.586676113275959
tn3k_0e4f3eb55d,tn3k,otsu_iou50,0.8283244133388226
tn3k_407579313b,tn3k,otsu_iou50,0.8254419296216752
tn3k_4be0dbda19,tn3k,otsu_low_iou,0.5557181685134852
tn3k_750d2c44a9,tn3k,otsu_iou50,0.7980772232106627
tn3k_c7f6f5dc5a,tn3k,otsu_low_iou,0.35228948312278324
tn3k_ae0436d357,tn3k,otsu_iou50,0.756396298312466
tn3k_5ce4ec7510,tn3k,otsu_iou50,0.7019027484143763
tn3k_a4330f21f2,tn3k,otsu_low_iou,0.23262511199283245
tn3k_35d695e619,tn3k,otsu_iou50,0.8684082742546373
tn3k_35d695e619,tn3k,det_miss,0.0
tn3k_717884e964,tn3k,otsu_iou50,0.8828919389135897
tn3k_c7ee403f83,tn3k,otsu_low_iou,0.34413547982437803
tn3k_739bc9d6f5,tn3k,otsu_low_iou,0.6255568318717956
tn3k_af3ff464c9,tn3k,otsu_iou50,0.8953071048289705
tn3k_ae92ade071,tn3k,otsu_iou50,0.6883425852498017
tn3k_3f08a57d30,tn3k,det_miss,0.0
tn3k_f77a09ea13,tn3k,det_miss,0.0
tn3k_3c47e1b68d,tn3k,det_miss,0.0
tn3k_10f48ba220,tn3k,otsu_iou50,0.6743035667794846
tn3k_4716969eff,tn3k,otsu_iou50,0.8592035880962483
tn3k_9eb4c9e82a,tn3k,otsu_low_iou,0.5835509138381201
tn3k_28237989c5,tn3k,otsu_iou50,0.8285001188495364
tn3k_3a84ed43e0,tn3k,otsu_iou50,0.7974124525719972
tn3k_65dc4dca5a,tn3k,otsu_iou50,0.7743971720742331
tn3k_6fb6c0c028,tn3k,otsu_iou50,0.7803654604084558
tn3k_d4cedf333d,tn3k,otsu_low_iou,0.550961207532327
tn3k_c87a847f5e,tn3k,det_miss,0.0
tn3k_ec2dc65c9d,tn3k,otsu_iou50,0.7037619450828596
tn3k_668480a0e1,tn3k,det_miss,0.0
tn3k_62c106ab9e,tn3k,otsu_low_iou,0.2063044278179811
tn3k_e383d892cc,tn3k,otsu_iou50,0.7922985781990521
tn3k_b6389d414e,tn3k,otsu_iou50,0.7599164926931107
tn3k_af9969810c,tn3k,otsu_iou50,0.7964781578056214
tn3k_af9969810c,tn3k,otsu_iou50,0.8925619834710744
tn3k_0da4e51ea4,tn3k,otsu_iou50,0.8636651870640456
tn3k_23a6a670c5,tn3k,otsu_iou50,0.836104513064133
tn3k_c7e252f632,tn3k,otsu_iou50,0.7925117004680188
tn3k_7e276061f2,tn3k,otsu_low_iou,0.5432364549695012
tn3k_590deedf34,tn3k,otsu_iou50,0.8694247383578001
tn3k_4b0e949d30,tn3k,otsu_low_iou,0.5198979591836734
tn3k_35e6fc5a11,tn3k,otsu_iou50,0.8637043366801965
tn3k_296169decd,tn3k,otsu_low_iou,0.15646156160673988
tn3k_06a3d8dc62,tn3k,otsu_iou50,0.6858895705521473
tn3k_19a026406b,tn3k,otsu_iou50,0.773555439875065
tn3k_8f329a1655,tn3k,otsu_iou50,0.87053706505295
tn3k_2f57a34a70,tn3k,det_miss,0.0
tn3k_71a5ca06ee,tn3k,otsu_iou50,0.7259303902365527
tn3k_0bf4ed2885,tn3k,otsu_iou50,0.7783143507972665
tn3k_fa60cf7e34,tn3k,otsu_iou50,0.7512864493996569
tn3k_c4b29c81c3,tn3k,otsu_iou50,0.7217801355732391
tn3k_2e91424732,tn3k,otsu_low_iou,0.45320197044334976
tn3k_cb94cef301,tn3k,otsu_iou50,0.6980172852058973
tn3k_c11ac56796,tn3k,otsu_iou50,0.8643057503506312
