method,uid,dataset,match_iou,n_gt,n_pred,dice,iou,hd95,assd,bf1,area_err,n_miss,n_fp
A_box,busi_11c694f20f,busi,0.8238672614097595,1,1,0.9034289713086074,0.8238672622846203,4.47213595499958,1.7130774122123593,0.7088459285295841,0.04727793696275072,,
A_box__detstats,busi_11c694f20f,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_11c694f20f,busi,0.6828617453575134,1,1,0.8115482233502538,0.6828617191671116,10.391853012565557,3.650471117392532,0.5182346109175376,0.25787965616045844,,
B_seg__detstats,busi_11c694f20f,busi,,1,1,,,,,,,0.0,0.0
SAM_edgesam,busi_11c694f20f,busi,0.7871643900871277,1,1,0.880908757786735,0.7871643745907008,7.0710678118654755,2.102983251724688,0.6223652096738407,0.04512893982808023,,
SAM_edgesam__detstats,busi_11c694f20f,busi,,1,1,,,,,,,0.0,0.0
SAM_efficientvit-t,busi_11c694f20f,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_efficientvit-t__detstats,busi_11c694f20f,busi,,1,1,,,,,,,1.0,1.0
A_box,busi_dcf573aebc,busi,0.9082112908363342,1,1,0.9518980402905304,0.9082112970711297,10.0,3.894205725120074,0.34410234514603794,0.009547190398254229,,
A_box__detstats,busi_dcf573aebc,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_dcf573aebc,busi,0.9432991743087769,1,1,0.9708223844282239,0.9432991640503839,5.0,2.1976034635590644,0.5347738014854827,0.00198737432779986,,
B_seg__detstats,busi_dcf573aebc,busi,,1,1,,,,,,,0.0,0.0
SAM_edgesam,busi_dcf573aebc,busi,0.9316385984420776,1,1,0.9646096174775283,0.9316385720403317,6.082762530298219,2.7606775738632408,0.44653496784315677,0.06647961967110903,,
SAM_edgesam__detstats,busi_dcf573aebc,busi,,1,1,,,,,,,0.0,0.0
SAM_efficientvit-t,busi_dcf573aebc,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_efficientvit-t__detstats,busi_dcf573aebc,busi,,1,1,,,,,,,1.0,1.0
A_box,busi_25d8683937,busi,0.9008662104606628,1,1,0.9478481012658228,0.9008662175168431,3.1622776601683795,1.3717448569424742,0.7921462423832092,0.09363957597173145,,
A_box__detstats,busi_25d8683937,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_25d8683937,busi,0.8575757741928101,1,1,0.9233278955954323,0.8575757575757575,4.242640687119285,2.1455438115171037,0.517385257301808,0.16607773851590105,,
B_seg__detstats,busi_25d8683937,busi,,1,1,,,,,,,0.0,0.0
SAM_edgesam,busi_25d8683937,busi,0.9088769555091858,1,1,0.9522635194645059,0.9088769334229994,2.8284271247461903,1.1808011809557328,0.8585848705960603,0.006007067137809187,,
SAM_edgesam__detstats,busi_25d8683937,busi,,1,1,,,,,,,0.0,0.0
SAM_efficientvit-t,busi_25d8683937,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_efficientvit-t__detstats,busi_25d8683937,busi,,1,1,,,,,,,1.0,1.0
A_box,busi_a2e0eb1c41,busi,0.7512995004653931,1,1,0.8579908675799087,0.7512994802079168,6.4031242374328485,3.3944637917580938,0.32221480987324885,0.31746031746031744,,
A_box__detstats,busi_a2e0eb1c41,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_a2e0eb1c41,busi,0.6872727274894714,1,1,0.8146551724137931,0.6872727272727273,9.0,4.584911547638304,0.270661332879394,0.455026455026455,,
B_seg__detstats,busi_a2e0eb1c41,busi,,1,1,,,,,,,0.0,0.0
SAM_edgesam,busi_a2e0eb1c41,busi,0.8704319000244141,1,1,0.9307282415630551,0.8704318936877077,5.0,1.4976932282388649,0.7985522368592671,0.08518518518518518,,
SAM_edgesam__detstats,busi_a2e0eb1c41,busi,,1,1,,,,,,,0.0,0.0
SAM_efficientvit-t,busi_a2e0eb1c41,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_efficientvit-t__detstats,busi_a2e0eb1c41,busi,,1,1,,,,,,,1.0,1.0
A_box,busi_0d51c07bd5,busi,0.6917049288749695,1,1,0.8177607199576495,0.6917049143624762,59.093091734040094,10.988957532735837,0.3006309417751797,0.020045856534556174,,
A_box__detstats,busi_0d51c07bd5,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_0d51c07bd5,busi,0.7460142374038696,1,2,0.8545339608063497,0.7460142261466765,60.09999999999991,8.605520487812289,0.4006522847589531,0.13468719292499182,,
B_seg__detstats,busi_0d51c07bd5,busi,,1,2,,,,,,,0.0,1.0
SAM_edgesam,busi_0d51c07bd5,busi,0.6809272766113281,1,1,0.8101805221972573,0.6809272644396692,72.84087911424416,10.962678658680375,0.30706445348472755,0.30894202423845396,,
SAM_edgesam__detstats,busi_0d51c07bd5,busi,,1,1,,,,,,,0.0,0.0
SAM_efficientvit-t,busi_0d51c07bd5,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_efficientvit-t__detstats,busi_0d51c07bd5,busi,,1,1,,,,,,,1.0,1.0
A_box,busi_3aa2ecd082,busi,0.8283270597457886,1,1,0.9061038295621705,0.8283270881179742,13.0,7.517728617816434,0.04289472510812859,0.20725256283973587,,
A_box__detstats,busi_3aa2ecd082,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_3aa2ecd082,busi,0.9122441411018372,1,1,0.9541084384717109,0.9122441308136555,8.0,3.4811600532416813,0.337490551776266,0.04144321622706213,,
B_seg__detstats,busi_3aa2ecd082,busi,,1,1,,,,,,,0.0,0.0
SAM_edgesam,busi_3aa2ecd082,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_edgesam__detstats,busi_3aa2ecd082,busi,,1,1,,,,,,,1.0,1.0
SAM_efficientvit-t,busi_3aa2ecd082,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_efficientvit-t__detstats,busi_3aa2ecd082,busi,,1,1,,,,,,,1.0,1.0
A_box,busi_f89428ed30,busi,0.8572213649749756,1,1,0.9231224565297818,0.8572213824378178,10.295630140987,4.118334100564924,0.29219443864930117,0.025629496402877698,,
A_box__detstats,busi_f89428ed30,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_f89428ed30,busi,0.9325850605964661,1,1,0.9651167175774031,0.9325850885503972,5.385164807134504,1.8443676576552983,0.662204243182678,0.012814748201438849,,
B_seg__detstats,busi_f89428ed30,busi,,1,1,,,,,,,0.0,0.0
SAM_edgesam,busi_f89428ed30,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_edgesam__detstats,busi_f89428ed30,busi,,1,1,,,,,,,1.0,1.0
SAM_efficientvit-t,busi_f89428ed30,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_efficientvit-t__detstats,busi_f89428ed30,busi,,1,1,,,,,,,1.0,1.0
A_box,busi_42f20b000b,busi,0.834325909614563,1,1,0.9096812278630461,0.834325933946941,20.09975124224178,5.429163221456127,0.36249677493972465,0.04331504475887958,,
A_box__detstats,busi_42f20b000b,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_42f20b000b,busi,0.9100979566574097,1,1,0.9529332932831165,0.9100979786388913,5.0,2.7599239605145938,0.4005603075730933,0.08292424679949947,,
B_seg__detstats,busi_42f20b000b,busi,,1,1,,,,,,,0.0,0.0
SAM_edgesam,busi_42f20b000b,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_edgesam__detstats,busi_42f20b000b,busi,,1,1,,,,,,,1.0,1.0
SAM_efficientvit-t,busi_42f20b000b,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_efficientvit-t__detstats,busi_42f20b000b,busi,,1,1,,,,,,,1.0,1.0
A_box,busi_e236c55059,busi,0.7545768618583679,1,1,0.8601240162175053,0.7545768385814415,17.69180601295413,6.1835520612138435,0.29882604055496265,0.1878424210800939,,
A_box__detstats,busi_e236c55059,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_e236c55059,busi,0.8332374095916748,1,1,0.9090338376545922,0.833237426631373,7.810249675906654,3.692365186960873,0.2890769020229748,0.07787633707278893,,
B_seg__detstats,busi_e236c55059,busi,,1,1,,,,,,,0.0,0.0
SAM_edgesam,busi_e236c55059,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_edgesam__detstats,busi_e236c55059,busi,,1,1,,,,,,,1.0,1.0
SAM_efficientvit-t,busi_e236c55059,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_efficientvit-t__detstats,busi_e236c55059,busi,,1,1,,,,,,,1.0,1.0
A_box,busi_d07111ff97,busi,0.0,1,0,0.0,0.0,,,0.0,,,
A_box__detstats,busi_d07111ff97,busi,,1,0,,,,,,,1.0,0.0
B_seg,busi_d07111ff97,busi,0.0,1,1,0.0,0.0,,,0.0,,,
B_seg__detstats,busi_d07111ff97,busi,,1,1,,,,,,,1.0,1.0
SAM_edgesam,busi_d07111ff97,busi,0.0,1,0,0.0,0.0,,,0.0,,,
SAM_edgesam__detstats,busi_d07111ff97,busi,,1,0,,,,,,,1.0,0.0
SAM_efficientvit-t,busi_d07111ff97,busi,0.0,1,0,0.0,0.0,,,0.0,,,
SAM_efficientvit-t__detstats,busi_d07111ff97,busi,,1,0,,,,,,,1.0,0.0
A_box,busi_5297c4215c,busi,0.725955069065094,1,1,0.8412212999368963,0.7259550938337802,12.041594578792296,6.952745198356416,0.06852677453288583,0.2679502270052127,,
A_box__detstats,busi_5297c4215c,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_5297c4215c,busi,0.8573172688484192,1,1,0.9231780533765721,0.857317271691356,9.486832980505138,3.5681249609004517,0.4347121587330704,0.08146964856230032,,
B_seg__detstats,busi_5297c4215c,busi,,1,1,,,,,,,0.0,0.0
SAM_edgesam,busi_5297c4215c,busi,0.8598639369010925,1,1,0.9246525237746891,0.8598639455782313,9.0,3.6009379352930795,0.38432908912830566,0.046157726584832685,,
SAM_edgesam__detstats,busi_5297c4215c,busi,,1,1,,,,,,,0.0,0.0
SAM_efficientvit-t,busi_5297c4215c,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_efficientvit-t__detstats,busi_5297c4215c,busi,,1,1,,,,,,,1.0,1.0
A_box,busi_b5c3b1d7df,busi,0.8800049424171448,1,1,0.936173014253267,0.880004950801411,8.0,3.468562896201213,0.40282451068669733,0.11420418957477904,,
A_box__detstats,busi_b5c3b1d7df,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_b5c3b1d7df,busi,0.9179745316505432,1,1,0.9572332762177851,0.9179745137491616,7.582206784205524,2.271597986896306,0.6076435322907854,0.009812791425986499,,
B_seg__detstats,busi_b5c3b1d7df,busi,,1,1,,,,,,,0.0,0.0
SAM_edgesam,busi_b5c3b1d7df,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_edgesam__detstats,busi_b5c3b1d7df,busi,,1,1,,,,,,,1.0,1.0
SAM_efficientvit-t,busi_b5c3b1d7df,busi,0.0,1,1,0.0,0.0,,,0.0,,,
SAM_efficientvit-t__detstats,busi_b5c3b1d7df,busi,,1,1,,,,,,,1.0,1.0
A_box,busi_16e7d3f1d9,busi,0.7743151187896729,1,1,0.8728045266191288,0.7743151451817571,26.0,9.48044597527577,0.15522771007055805,0.18458781362007168,,
A_box__detstats,busi_16e7d3f1d9,busi,,1,1,,,,,,,0.0,0.0
B_seg,busi_16e7d3f1d9,busi,0.0,1,2,0.0,0.0,,,0.0,,,
B_seg__detstats,busi_16e7d3f1d9,busi,,1,2,,,,,,,1.0,2.0
