method,uid,dataset,modality,match_iou,n_gt,n_pred,dice,iou,hd95,assd,bf1,area_err,pred_pt_err,n_miss,n_fp,rough_pt_err,eval
refiner,busi_5f2389aed3,busi,breast,0.8872882127761841,1,1,0.9402784562774792,0.8872882332603435,7.211102550927978,2.7622777336611897,0.5232591669838633,0.100672697749942,2.7079625129699707,,,6.997322082519531,v2_eval_A1
rough_otsu,busi_5f2389aed3,busi,breast,0.7268732190132141,1,1,0.8418373838910803,0.7268732146780927,16.278820596099706,6.501713590605441,0.2872152504324146,0.1769890976571561,7.003624439239502,,,7.003624439239502,v2_eval_A1
refiner_gtbox,busi_5f2389aed3,busi,breast,0.9075342416763306,1,1,0.9515260323159784,0.9075342465753424,6.0,2.2632301496837224,0.5838681225098086,0.0619345859429366,2.2726311683654785,,,6.305836200714111,v2_eval_A1
rough_otsu_gtbox,busi_5f2389aed3,busi,breast,0.7601048946380615,1,1,0.8637040714995035,0.760104872187022,14.866068747318506,5.834480592466476,0.2993382286284108,0.1312920436093713,6.373701095581055,,,6.373701095581055,v2_eval_A1
yolo26n_seg,busi_7432afad2c,busi,breast,0.9091380834579468,1,1,0.9524068238617842,0.9091380562182346,5.0,2.0450016869283654,0.6346516562536838,0.034261715296198,1.968354344367981,,,,v2_eval_A1
refiner,busi_7432afad2c,busi,breast,0.883917510509491,1,1,0.9383824012257852,0.8839175257731958,7.211102550927978,2.762345413032524,0.5226363760632505,0.0196728558797524,2.851353406906128,,,4.964037895202637,v2_eval_A1
rough_otsu,busi_7432afad2c,busi,breast,0.850250244140625,1,1,0.9190651374161436,0.8502502502502503,14.7648230602334,3.635581301808642,0.5194098666363206,0.0428824049513704,4.963623523712158,,,4.963623523712158,v2_eval_A1
refiner_gtbox,busi_7432afad2c,busi,breast,0.892496645450592,1,1,0.9431949408853452,0.8924966177541888,7.071067811865476,2.532518170630724,0.5489295603430809,0.0098364279398762,2.7368292808532715,,,5.71183967590332,v2_eval_A1
rough_otsu_gtbox,busi_7432afad2c,busi,breast,0.8354527354240417,1,1,0.9103505756107724,0.8354527201453293,17.46424919657298,3.967961948753934,0.5052758474472328,0.1216843501326259,5.777342796325684,,,5.777342796325684,v2_eval_A1
yolo26n_seg,busi_98197bf517,busi,breast,0.0,1,2,0.0,0.0,,,0.0,,,,,,v2_eval_A1
refiner,busi_98197bf517,busi,breast,0.8956672549247742,1,4,0.9449625159992686,0.8956672443674176,5.0,1.4384463657382611,0.7698045651200954,0.0481798715203426,1.4740867614746094,,,3.021883964538574,v2_eval_A1
rough_otsu,busi_98197bf517,busi,breast,0.7869378924369812,1,4,0.8807669263031755,0.7869379014989293,8.636519931338269,3.074784761016795,0.5193621867881548,0.2130620985010706,3.0185372829437256,,,3.0185372829437256,v2_eval_A1
refiner_gtbox,busi_98197bf517,busi,breast,0.900206446647644,1,1,0.9474827960883738,0.9002064693737095,3.605551275463989,1.3609619328114162,0.825459604263196,0.0292648108493932,1.4479069709777832,,,3.015169143676758,v2_eval_A1
rough_otsu_gtbox,busi_98197bf517,busi,breast,0.8351714015007019,1,1,0.9101835309403932,0.8351713859910581,8.06225774829855,2.6795614226810374,0.5673450835816373,0.1973590292648108,3.015421867370605,,,3.015421867370605,v2_eval_A1
yolo26n_seg,busi_4e9b7d897c,busi,breast,0.8681267499923706,1,1,0.9294088301322024,0.8681267474370923,3.0,1.4600193182701262,0.7981605766840665,0.053883495145631,1.656372308731079,,,,v2_eval_A1
refiner,busi_4e9b7d897c,busi,breast,0.8953542709350586,1,1,0.9447883139390938,0.8953542937587987,2.8284271247461903,1.1570927667753907,0.8636411833315661,0.0393203883495145,1.3187599182128906,,,2.145186185836792,v2_eval_A1
rough_otsu,busi_4e9b7d897c,busi,breast,0.8251417875289917,1,1,0.9041947177628172,0.8251417769376181,5.830951894845301,1.9952404424713184,0.6392363873020465,0.1252427184466019,2.134094476699829,,,2.134094476699829,v2_eval_A1
refiner_gtbox,busi_4e9b7d897c,busi,breast,0.8852308988571167,1,1,0.939121998544749,0.8852309099222679,4.47213595499958,1.3433812273283063,0.8355819994971927,0.0014563106796116,1.4297535419464111,,,4.383549213409424,v2_eval_A1
rough_otsu_gtbox,busi_4e9b7d897c,busi,breast,0.743145763874054,1,1,0.8526490066225165,0.7431457431457431,12.002079728939613,3.855316662616219,0.4711174922230198,0.345631067961165,4.384406566619873,,,4.384406566619873,v2_eval_A1
yolo26n_seg,busi_881775a5f8,busi,breast,0.0,1,1,0.0,0.0,,,0.0,,,,,,v2_eval_A1
refiner,busi_881775a5f8,busi,breast,0.0,1,1,0.0,0.0,,,0.0,,,,,,v2_eval_A1
rough_otsu,busi_881775a5f8,busi,breast,0.0,1,1,0.0,0.0,,,0.0,,,,,,v2_eval_A1
refiner_gtbox,busi_881775a5f8,busi,breast,0.8177723288536072,1,1,0.8997521964406398,0.8177723177723177,5.991547594742263,2.2904472156899383,0.5563810224347187,0.0269406392694063,2.539653778076172,,,3.95972752571106,v2_eval_A1
rough_otsu_gtbox,busi_881775a5f8,busi,breast,0.728663444519043,1,1,0.8430367955286446,0.7286634460547504,9.939696961966996,3.475809637634677,0.477326968973747,0.039269406392694,3.9506173133850098,,,3.9506173133850098,v2_eval_A1
yolo26n_seg,busi_11c694f20f,busi,breast,0.6828617453575134,1,1,0.8115482233502538,0.6828617191671116,10.391853012565557,3.650471117392532,0.5182346109175376,0.2578796561604584,3.9731252193450928,,,,v2_eval_A1
refiner,busi_11c694f20f,busi,breast,0.8181818127632141,1,1,0.9,0.8181818181818182,5.0990195135927845,1.7549589582928469,0.6808977508526725,0.0630372492836676,2.0232274532318115,,,4.355083465576172,v2_eval_A1
rough_otsu,busi_11c694f20f,busi,breast,0.6691957712173462,1,1,0.8018181818181818,0.669195751138088,8.561359904561204,4.027275720542639,0.3174668874172185,0.3638968481375358,4.355016708374023,,,4.355016708374023,v2_eval_A1
refiner_gtbox,busi_11c694f20f,busi,breast,0.8548387289047241,1,1,0.9217391304347826,0.8548387096774194,3.605551275463989,1.3573057585946575,0.786998276286629,0.0594555873925501,1.565184473991394,,,1.8791230916976929,v2_eval_A1
rough_otsu_gtbox,busi_11c694f20f,busi,breast,0.843589723110199,1,1,0.9151599443671766,0.8435897435897436,5.227784895686555,1.5628550791594038,0.7286383317133516,0.0601719197707736,1.8766200542449951,,,1.8766200542449951,v2_eval_A1
yolo26n_seg,busi_dcf573aebc,busi,breast,0.9432991743087769,1,1,0.970822384428224,0.943299164050384,5.0,2.1976034635590644,0.5347738014854827,0.0019873743277998,2.3080263137817383,,,,v2_eval_A1
refiner,busi_dcf573aebc,busi,breast,0.910658836364746,1,1,0.9532406571583318,0.9106588478785788,9.486832980505138,3.5916347460439884,0.355148440628883,0.0574000467617488,3.8970131874084473,,,9.56213665008545,v2_eval_A1
rough_otsu,busi_dcf573aebc,busi,breast,0.852737545967102,1,1,0.9205162766000898,0.8527375231752998,24.0,6.8207113503380645,0.2436163187964743,0.0918868365676876,9.57473850250244,,,9.57473850250244,v2_eval_A1
refiner_gtbox,busi_dcf573aebc,busi,breast,0.926776647567749,1,1,0.9619969597567806,0.9267766301834438,7.071067811865476,2.93821131992338,0.4544841537424141,0.0517496687709453,3.432077646255493,,,8.755125045776367,v2_eval_A1
rough_otsu_gtbox,busi_dcf573aebc,busi,breast,0.8462525010108948,1,1,0.9167245535896702,0.8462524989626947,22.63622157317017,6.6085550666073,0.2665296170578955,0.0926661990491777,8.784688949584961,,,8.784688949584961,v2_eval_A1
yolo26n_seg,busi_25d8683937,busi,breast,0.8575757741928101,1,1,0.9233278955954324,0.8575757575757575,4.242640687119285,2.145543811517104,0.517385257301808,0.166077738515901,2.536109685897827,,,,v2_eval_A1
refiner,busi_25d8683937,busi,breast,0.8899052739143372,1,1,0.9417458945548832,0.8899052597190461,3.1622776601683795,1.4464398809476942,0.7846008005055826,0.0441696113074204,1.6688263416290283,,,2.4736719131469727,v2_eval_A1
