eval,method,n,dice,dice_std,iou,hd95,assd,bf1,area_err,dice_median,fail_rate
v2_eval_A2,rough_otsu,334,0.5409885594692111,0.3918687821604364,0.4616816827209378,21.274819756915964,7.162772392772874,0.2148673274543161,0.21868147978089128,0.7581563955027883,0.3383233532934132
v2_eval_A2,rough_otsu_gtbox,336,0.6555878067378533,0.3509566298463023,0.5683346343818447,20.388294504335786,6.513662081126428,0.30896914524587576,0.19362449823578312,0.8250982470327954,0.21726190476190477
v2_eval_A2,yolo26n_seg,337,0.7923086885796344,0.2854927661962244,0.7191101397133116,14.331294369220316,4.624153569843753,0.4259549578609993,0.15390647457583811,0.9007278996264726,0.10979228486646884
v2_eval_A3,refiner,336,0.6726576086503887,0.3612025417133915,0.5955179536075557,17.814739718364297,6.027693322411168,0.3140268693940523,0.16413277899652065,0.851107244490932,0.21726190476190477
v2_eval_A3,refiner_gtbox,340,0.7981864562922396,0.2567738909448859,0.7152028010168441,15.266740353943772,5.309949616576049,0.4069083300738767,0.12246468901273638,0.8879536639895838,0.08823529411764706
v2_eval_A3,rough_otsu,334,0.5409885594692111,0.3918687821604364,0.4616816827209378,21.274819756915964,7.162772392772874,0.2148673274543161,0.21868147978089128,0.7581563955027883,0.3383233532934132
v2_eval_A3,rough_otsu_gtbox,336,0.6555878067378533,0.3509566298463023,0.5683346343818447,20.388294504335786,6.513662081126428,0.30896914524587576,0.19362449823578312,0.8250982470327954,0.21726190476190477
v2_eval_A3,yolo26n_seg,337,0.7923086885796344,0.2854927661962244,0.7191101397133116,14.331294369220316,4.624153569843753,0.4259549578609993,0.15390647457583811,0.9007278996264726,0.10979228486646884
v2_eval_A4,refiner,335,0.6676631109694519,0.3620250676197367,0.5896256854328202,17.252542815568063,6.0159670826592615,0.30371347389403597,0.1675149938573725,0.8438071137354141,0.2208955223880597
v2_eval_A4,refiner_gtbox,340,0.7988646525116491,0.24531103293277845,0.7120346781466614,15.593738163946206,5.555815973990044,0.40170063463997996,0.14403843213158876,0.8830774289002137,0.07941176470588235
v2_eval_A4,rough_otsu,334,0.5409885594692111,0.3918687821604364,0.4616816827209378,21.274819756915964,7.162772392772874,0.2148673274543161,0.21868147978089128,0.7581563955027883,0.3383233532934132
v2_eval_A4,rough_otsu_gtbox,336,0.6555878067378533,0.3509566298463023,0.5683346343818447,20.388294504335786,6.513662081126428,0.30896914524587576,0.19362449823578312,0.8250982470327954,0.21726190476190477
v2_eval_A4,yolo26n_seg,337,0.7923086885796344,0.2854927661962244,0.7191101397133116,14.331294369220316,4.624153569843753,0.4259549578609993,0.15390647457583811,0.9007278996264726,0.10979228486646884
v2_eval_A5,refiner,335,0.6602441410336103,0.3673389553507311,0.5834925750721244,17.23037154687973,5.893827287030681,0.303018495247079,0.1628589035111916,0.8444778362133734,0.2298507462686567
v2_eval_A5,refiner_gtbox,340,0.7854865018468201,0.2659908535105639,0.700635418806839,15.278326369960046,5.37309661176314,0.3940376566117053,0.14528143572349744,0.8818216045075701,0.09705882352941177
v2_eval_A5,rough_otsu,334,0.5409885594692111,0.3918687821604364,0.4616816827209378,21.274819756915964,7.162772392772874,0.2148673274543161,0.21868147978089128,0.7581563955027883,0.3383233532934132
v2_eval_A5,rough_otsu_gtbox,336,0.6555878067378533,0.3509566298463023,0.5683346343818447,20.388294504335786,6.513662081126428,0.30896914524587576,0.19362449823578312,0.8250982470327954,0.21726190476190477
v2_eval_A5,yolo26n_seg,337,0.7923086885796344,0.2854927661962244,0.7191101397133116,14.331294369220316,4.624153569843753,0.4259549578609993,0.15390647457583811,0.9007278996264726,0.10979228486646884
v3_eval_A5,refiner,335,0.6601857191742726,0.36714264819241055,0.5832584019784832,16.83286415359467,5.691508967698922,0.3068486680325623,0.1693287572907654,0.8389241948891213,0.2298507462686567
v3_eval_A5,refiner_gtbox,341,0.7808236778856261,0.2649864623803937,0.6937122506389136,15.58775277794939,5.431257845526861,0.3829567494289179,0.15421266536277756,0.8734076433121019,0.0967741935483871
v3_eval_A5,rough_otsu,334,0.5409885594692111,0.3918687821604364,0.4616816827209378,21.274819756915964,7.162772392772874,0.2148673274543161,0.21868147978089128,0.7581563955027883,0.3383233532934132
v3_eval_A5,rough_otsu_gtbox,336,0.6555878067378533,0.3509566298463023,0.5683346343818447,20.388294504335786,6.513662081126428,0.30896914524587576,0.19362449823578312,0.8250982470327954,0.21726190476190477
v3_eval_A5,yolo26n_seg,337,0.7923086885796344,0.2854927661962244,0.7191101397133116,14.331294369220316,4.624153569843753,0.4259549578609993,0.15390647457583811,0.9007278996264726,0.10979228486646884
